Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BKNG,BKR,CCEP,CDNS,CDW,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DASH,DDOG,DLTR,DXCM,EA,EXC,FANG,FAST,FTNT,GFS,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDB,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROP,ROST,SBUX,SMCI,SNPS,TEAM,TMUS,TSLA,TTD,TTWO,TXN,Unnamed: 0,VRSK,VRTX,WBD,WDAY,XEL,ZS
2022-10-31 04:00:00,153.34,106.91,318.5,142.62,241.7,214.3,87.92,88.29,60.06,270.35,102.44,221.16,472.42,47.012,58.81,1869.48,27.66,47.05,151.39,172.81,94.54,367.62,31.74,501.5,28.755,161.2,45.43,82.72,29.06,106.8875,62.25,43.53,80.51,158.5,120.78,125.96,38.59,157.11,48.33,57.16,56.7,78.46,94.66,94.51,204.02,359.68,228.82,28.43,427.5,246.47,38.84,38.47,316.45,297.35,40.478,329.04,160.11,61.74,183.03,61.48,901.62,93.16,46.86,150.33,39.68,232.13,54.1,291.88,13.497,146.08,137.3,61.43,837.17,171.59,118.31,64.5533,54.83,181.58,83.58,117.66,748.75,414.54,95.69,86.59,6.959,292.55,202.73,151.56,227.54,53.24,118.48,160.63,0,182.83,312.0,13.0,155.82,65.11,154.1
2022-11-01 04:00:00,150.65,109.05,316.02,144.7,243.64,214.05,88.53,89.79,59.66,272.06,96.79,219.24,475.38,46.79,59.85,1889.52,28.5,47.37,150.93,172.58,95.52,357.0,31.56,499.96,28.775,160.53,45.46,81.19,29.07,107.0675,62.53,45.1,80.8,158.12,119.04,126.27,38.76,158.63,48.83,56.42,57.01,79.34,90.5,90.47,203.1,394.93,219.13,28.3,394.77,246.86,37.84,38.22,321.18,298.17,41.271,330.36,160.07,62.36,181.45,61.87,919.34,95.2,47.175,154.62,39.74,228.17,54.86,286.75,13.543,151.85,136.435,61.74,834.0,170.77,118.06,64.6333,53.89,180.76,83.11,117.33,759.91,413.71,94.68,87.1,7.186,291.17,191.74,152.28,227.82,53.08,116.31,162.9,1,181.47,314.2,13.35,151.6,65.9,150.39
2022-11-02 04:00:00,145.03,94.41,301.22,141.24,237.44,199.38,88.21,87.76,58.63,269.01,92.12,209.45,446.33,45.603,59.7,1778.18,27.59,46.64,145.09,172.4,93.09,347.245,30.91,483.51,28.015,147.99,44.57,79.18,28.53,103.9525,60.26,45.12,74.48,153.2,115.95,128.66,38.04,154.83,48.01,53.23,56.37,77.88,87.07,86.97,200.47,372.64,210.98,27.42,385.03,236.13,36.98,38.12,312.42,294.34,39.552,316.06,152.99,60.64,163.22,62.58,851.28,90.54,45.855,148.62,39.05,220.1,53.45,273.0,13.219,148.61,130.195,60.11,815.11,161.78,114.5,63.8,53.61,178.24,79.45,112.5,740.48,403.12,92.6,84.58,8.084,281.11,172.4,150.02,214.98,49.5,113.55,158.49,2,169.33,310.01,12.68,143.51,65.31,138.09
2022-11-03 04:00:00,138.88,92.02,285.93,138.02,236.1,194.22,88.68,86.3,60.11,265.88,89.3,212.06,439.92,44.412,59.93,1825.73,28.29,47.55,142.86,172.83,94.41,344.25,30.38,486.29,28.3475,141.53,43.85,79.89,29.0,102.735,51.96,47.61,75.01,156.0,112.6,126.62,36.96,158.53,48.22,45.93,52.69,79.46,83.49,83.43,204.39,369.19,211.93,27.39,364.99,234.19,36.29,37.99,314.44,297.6,39.342,318.1,146.48,59.46,157.22,62.0,870.88,88.91,45.545,147.5,37.22,214.25,53.48,269.06,13.421,144.85,131.515,59.19,819.37,149.7,113.04,64.6533,56.97,177.78,76.55,103.88,738.68,397.72,92.3,84.68,7.97,279.29,174.17,148.17,215.31,49.17,111.3,156.52,3,165.37,311.3,11.97,140.22,65.15,131.07
2022-11-04 04:00:00,138.38,96.09,285.75,144.29,236.86,193.69,89.57,91.7,62.19,269.04,90.98,213.91,468.76,46.53,60.99,1874.4,29.11,48.2,142.41,172.41,94.32,348.82,31.0,486.41,28.69,127.56,44.52,79.97,29.63,102.66,52.63,51.57,70.38,156.4,114.88,129.76,37.18,161.37,49.49,47.1,54.17,80.34,86.7,86.58,207.85,371.79,224.36,28.2,361.19,239.53,36.98,38.02,328.03,308.93,41.954,325.57,148.96,63.86,145.38,63.22,938.57,90.79,48.97,158.41,38.97,221.39,56.16,260.79,14.156,151.06,135.955,63.19,815.74,142.21,113.76,66.08,61.89,178.78,75.18,106.69,740.21,396.03,93.88,91.86,7.663,276.57,123.73,148.83,207.47,46.25,108.53,162.65,4,166.52,308.82,10.43,132.63,65.55,121.0
2022-11-07 05:00:00,138.92,95.46,299.54,148.93,240.41,194.88,88.0,95.04,63.08,277.02,90.53,221.39,483.39,47.522,61.1,1833.82,30.62,49.39,146.0,172.31,93.5,353.28,31.6,488.55,28.545,124.68,44.55,80.35,29.96,104.965,53.75,52.1,69.48,160.03,115.33,132.42,36.68,163.49,49.57,47.86,56.27,81.46,88.65,88.49,209.77,385.2,217.19,28.41,370.11,242.33,37.46,38.17,337.17,313.49,43.497,324.25,148.35,65.53,141.84,64.39,940.78,96.72,49.45,164.04,39.51,227.87,56.56,258.6,14.301,157.9,140.99,65.47,830.2,144.45,115.38,66.0933,61.72,180.21,77.66,110.09,750.93,412.62,93.14,90.45,7.715,280.53,119.23,149.78,197.08,43.72,108.4,165.69,5,168.49,303.23,10.27,136.52,65.25,117.36
2022-11-08 05:00:00,139.5,98.9,302.17,151.04,245.04,199.01,89.25,97.46,63.85,292.39,89.98,228.6,503.59,48.211,61.33,1859.19,30.94,49.65,149.095,175.72,87.54,354.66,31.9,492.76,28.445,127.0,44.61,80.17,29.98,107.755,53.22,54.53,70.49,161.09,115.35,129.1,37.71,163.55,49.78,50.6,61.12,82.23,88.91,88.9,211.36,382.9,218.04,28.48,382.57,240.7,37.94,38.1,342.13,314.71,44.486,328.5,150.5,67.76,144.01,63.92,937.08,96.47,48.93,164.61,39.79,228.87,57.49,263.46,14.602,163.11,145.03,67.09,833.51,154.17,117.05,67.0333,62.92,180.71,81.13,112.54,751.95,416.43,92.09,92.75,7.831,291.58,122.72,149.9,191.3,43.37,93.57,168.11,6,170.6,306.5,10.06,140.18,66.09,119.93
2022-11-09 05:00:00,134.87,95.79,298.87,148.23,240.38,194.61,87.82,94.38,59.92,289.65,86.14,225.6,489.46,46.947,61.05,1865.82,29.51,49.02,147.76,172.09,87.35,349.88,31.39,489.97,27.835,122.36,43.91,79.78,29.43,105.0075,54.02,53.25,67.22,154.88,113.15,126.29,37.69,157.55,48.88,49.88,61.0,82.32,87.4,87.32,208.63,379.88,215.85,27.52,368.55,236.13,37.57,37.73,337.52,314.44,43.274,321.21,149.57,66.5,137.35,63.39,897.62,101.47,48.115,163.21,36.71,224.51,55.97,254.66,13.776,154.72,140.93,63.83,828.7,151.57,115.24,66.5067,59.16,178.55,78.68,110.43,742.95,416.2,91.32,91.63,7.649,290.08,122.29,148.64,177.59,39.89,94.09,164.99,7,169.87,309.34,9.84,134.95,65.61,116.25
2022-11-10 05:00:00,146.87,102.4,329.95,160.37,254.88,222.96,91.8,104.79,68.47,291.01,96.63,249.19,560.79,50.657,65.09,1946.51,30.58,50.9,162.02,185.5,95.14,373.16,32.77,513.13,30.23,135.76,45.66,84.16,31.22,111.1275,57.29,59.46,76.52,163.12,119.84,130.3,39.0,160.28,51.87,54.39,62.7,82.6,94.17,93.94,214.8,416.06,240.09,29.76,403.24,257.86,37.94,37.87,368.25,328.37,48.541,353.85,157.98,73.92,161.0,64.98,935.53,111.87,49.65,168.56,42.65,242.98,60.27,274.97,15.75,165.47,152.815,72.79,843.85,163.46,121.38,67.94,64.05,181.7,86.8,120.68,741.08,438.43,97.13,96.26,8.072,318.76,140.85,150.45,190.72,47.51,98.57,174.69,8,181.11,311.03,10.8,153.13,69.11,133.12
2022-11-11 05:00:00,149.7,109.57,341.15,164.06,249.23,228.8,89.98,110.53,72.37,285.02,100.79,255.71,576.44,51.809,62.77,2015.77,31.02,51.65,166.9,184.35,92.31,394.4,34.02,515.47,30.78,143.12,44.79,83.28,31.94,110.965,58.42,62.99,82.35,165.61,115.96,131.23,39.11,164.35,51.8,56.13,64.77,81.82,96.73,96.41,212.73,441.27,242.74,30.43,408.04,265.08,37.34,36.99,380.21,330.22,50.082,359.7,163.78,75.83,175.94,64.8,974.89,113.02,49.06,171.2,43.35,247.11,62.52,290.13,16.327,169.94,157.055,75.05,815.6,165.32,121.01,68.4133,65.18,178.05,91.03,121.43,734.45,438.36,96.17,97.38,8.347,331.4,142.37,146.19,195.97,48.77,102.25,179.49,9,178.27,303.26,11.84,156.95,67.49,142.19
2022-11-14 05:00:00,148.28,105.16,340.37,161.26,250.08,223.31,88.66,107.61,73.53,285.3,98.49,251.85,577.82,51.322,63.91,1979.25,30.25,51.5,167.93,182.49,93.92,387.81,34.13,509.68,30.62,142.01,44.74,82.21,31.8,110.97,58.08,62.02,78.12,164.5,112.99,129.56,38.06,163.57,51.68,55.52,65.03,82.85,96.03,95.7,213.0,428.03,234.57,30.35,397.66,259.44,36.54,36.82,377.91,332.08,48.07,352.74,159.53,74.89,171.08,64.1,959.58,114.22,48.46,179.03,43.16,241.55,61.78,299.27,16.295,169.01,157.135,72.83,824.92,161.73,121.19,68.2267,65.39,176.73,89.51,120.8,742.01,432.59,94.63,97.42,8.193,330.68,134.96,145.46,190.95,47.76,99.88,177.44,10,173.98,306.03,11.49,153.38,66.83,136.85
